case,prior,bad_counts,good_counts,h_remaining,stop_value,value,action,action_values,terminal_policy,terminal_status,bellman_residual
1,uniform,"[4, 0, 0]","[0, 0, 0]",0,16.744444444444444,16.744444444444444,STOP,"{""STOP"": 16.744444444444444}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[3, 0, 0]","[1, 0, 0]",0,16.821367521367524,16.821367521367524,STOP,"{""STOP"": 16.821367521367524}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[3, 1, 0]","[0, 0, 0]",0,16.577777777777783,16.577777777777783,STOP,"{""STOP"": 16.577777777777783}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[3, 0, 0]","[0, 1, 0]",0,16.83931623931624,16.83931623931624,STOP,"{""STOP"": 16.83931623931624}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[3, 0, 1]","[0, 0, 0]",0,16.56666666666667,16.56666666666667,STOP,"{""STOP"": 16.56666666666667}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[3, 0, 0]","[0, 0, 1]",0,16.84065934065934,16.84065934065934,STOP,"{""STOP"": 16.84065934065934}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[3, 0, 0]","[0, 0, 0]",1,16.81111111111111,16.81111111111111,STOP,"{""STOP"": 16.81111111111111, ""p1"": 14.811111111111114, ""p2"": 13.811111111111112, ""pf"": -14.188888888888892}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[2, 0, 0]",0,16.89661835748791,16.89661835748791,STOP,"{""STOP"": 16.89661835748791}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 1, 0]","[1, 0, 0]",0,16.65396825396825,16.65396825396825,STOP,"{""STOP"": 16.65396825396825}",1101,VALUE_INTEGRATION_CONVERGED,0.0
1,uniform,"[2, 0, 0]","[1, 1, 0]",0,16.91550671550672,16.91550671550672,STOP,"{""STOP"": 16.91550671550672}",1101,VALUE_INTEGRATION_CONVERGED,0.0
